Code,Name,Industry
000001.SZ,平安银行,银行
000002.SZ,万科A,房地产
000004.SZ,国农科技,医药生物
000005.SZ,世纪星源,公用事业
000006.SZ,深振业A,房地产
000007.SZ,全新好,综合
000008.SZ,神州高铁,机械设备
000009.SZ,中国宝安,综合
000010.SZ,美丽生态,建筑装饰
000011.SZ,深物业A,房地产
000012.SZ,南玻A,建筑材料
000014.SZ,沙河股份,房地产
000016.SZ,深康佳A,家用电器
000017.SZ,深中华A,汽车
000018.SZ,神州长城,建筑装饰
000019.SZ,深深宝A,食品饮料
000020.SZ,深华发A,电子
000021.SZ,深科技,计算机
000022.SZ,深赤湾A,交通运输
000023.SZ,深天地A,建筑材料
000025.SZ,特力A,汽车
000026.SZ,飞亚达A,轻工制造
000027.SZ,深圳能源,公用事业
000028.SZ,国药一致,医药生物
000029.SZ,深深房A,房地产
000030.SZ,富奥股份,汽车
000031.SZ,中粮地产,房地产
000032.SZ,深桑达A,通信
000034.SZ,神州数码,计算机
000035.SZ,中国天楹,公用事业
000036.SZ,华联控股,房地产
000037.SZ,深南电A,公用事业
000038.SZ,深大通,传媒
000039.SZ,中集集团,机械设备
000040.SZ,东旭蓝天,公用事业
000042.SZ,中洲控股,房地产
000043.SZ,中航善达,房地产
000045.SZ,深纺织A,电子
000046.SZ,泛海控股,房地产
000048.SZ,*ST康达,农林牧渔
000049.SZ,德赛电池,电子
000050.SZ,深天马A,电子
000055.SZ,方大集团,建筑装饰
000056.SZ,皇庭国际,房地产
000058.SZ,深赛格,商业贸易
000059.SZ,华锦股份,化工
000060.SZ,中金岭南,有色金属
000061.SZ,农产品,商业贸易
000062.SZ,深圳华强,电子
000063.SZ,中兴通讯,通信
000065.SZ,北方国际,建筑装饰
000066.SZ,中国长城,计算机
000068.SZ,华控赛格,公用事业
000069.SZ,华侨城A,房地产
000070.SZ,特发信息,通信
000078.SZ,海王生物,医药生物
000088.SZ,盐田港,交通运输
000089.SZ,深圳机场,交通运输
000090.SZ,天健集团,房地产
000096.SZ,广聚能源,化工
000099.SZ,中信海直,交通运输
000100.SZ,TCL集团,家用电器
000150.SZ,宜华健康,医药生物
000151.SZ,中成股份,商业贸易
000153.SZ,丰原药业,医药生物
000155.SZ,川化股份,商业贸易
000156.SZ,华数传媒,传媒
000157.SZ,中联重科,机械设备
000158.SZ,常山北明,计算机
000159.SZ,国际实业,化工
000166.SZ,申万宏源,非银金融
000301.SZ,东方市场,公用事业
000333.SZ,美的集团,家用电器
000338.SZ,潍柴动力,汽车
000400.SZ,许继电气,电气设备
000401.SZ,冀东水泥,建筑材料
000402.SZ,金融街,房地产
000403.SZ,ST生化,医药生物
000404.SZ,长虹华意,家用电器
000407.SZ,胜利股份,公用事业
000408.SZ,藏格控股,化工
000409.SZ,*ST地矿,综合
000410.SZ,沈阳机床,机械设备
000411.SZ,英特集团,医药生物
000413.SZ,东旭光电,电子
000415.SZ,渤海金控,非银金融
000416.SZ,民生控股,非银金融
000417.SZ,合肥百货,商业贸易
000418.SZ,小天鹅A,家用电器
000419.SZ,通程控股,商业贸易
000420.SZ,吉林化纤,化工
000421.SZ,南京公用,公用事业
000422.SZ,*ST宜化,化工
000423.SZ,东阿阿胶,医药生物
000425.SZ,徐工机械,机械设备
000426.SZ,兴业矿业,有色金属
000428.SZ,华天酒店,休闲服务
000429.SZ,粤高速A,交通运输
000430.SZ,张家界,休闲服务
000488.SZ,晨鸣纸业,轻工制造
000498.SZ,山东路桥,建筑装饰
000501.SZ,鄂武商A,商业贸易
000502.SZ,绿景控股,房地产
000503.SZ,国新健康,医药生物
000504.SZ,南华生物,传媒
000505.SZ,京粮控股,农林牧渔
000506.SZ,中润资源,房地产
000507.SZ,珠海港,交通运输
000509.SZ,华塑控股,建筑材料
000510.SZ,金路集团,化工
000513.SZ,丽珠集团,医药生物
000514.SZ,渝开发,房地产
000516.SZ,国际医学,商业贸易
000517.SZ,荣安地产,房地产
000518.SZ,四环生物,医药生物
000519.SZ,中兵红箭,国防军工
000520.SZ,长航凤凰,交通运输
000521.SZ,长虹美菱,家用电器
000523.SZ,广州浪奇,化工
000524.SZ,岭南控股,休闲服务
000525.SZ,红太阳,化工
000526.SZ,紫光学大,传媒
000528.SZ,柳工,机械设备
000529.SZ,广弘控股,综合
000530.SZ,大冷股份,机械设备
000531.SZ,穗恒运A,公用事业
000532.SZ,华金资本,电子
000533.SZ,万家乐,家用电器
000534.SZ,万泽股份,房地产
000536.SZ,华映科技,电子
000537.SZ,广宇发展,房地产
000538.SZ,云南白药,医药生物
000539.SZ,粤电力A,公用事业
000540.SZ,中天金融,房地产
000541.SZ,佛山照明,电子
000543.SZ,皖能电力,公用事业
000544.SZ,中原环保,公用事业
000545.SZ,金浦钛业,化工
000546.SZ,金圆股份,建筑材料
000547.SZ,航天发展,国防军工
000548.SZ,湖南投资,交通运输
000550.SZ,江铃汽车,汽车
000551.SZ,创元科技,机械设备
000552.SZ,靖远煤电,采掘
000553.SZ,沙隆达A,化工
000554.SZ,泰山石油,化工
000555.SZ,神州信息,计算机
000557.SZ,西部创业,交通运输
000558.SZ,莱茵体育,房地产
000559.SZ,万向钱潮,汽车
000560.SZ,我爱我家,商业贸易
000561.SZ,烽火电子,通信
000563.SZ,陕国投A,非银金融
000564.SZ,供销大集,商业贸易
000565.SZ,渝三峡A,化工
000566.SZ,海南海药,医药生物
000567.SZ,海德股份,非银金融
000568.SZ,泸州老窖,食品饮料
000570.SZ,苏常柴A,机械设备
000571.SZ,新大洲A,采掘
000572.SZ,海马汽车,汽车
000573.SZ,粤宏远A,房地产
000576.SZ,广东甘化,农林牧渔
000581.SZ,威孚高科,汽车
000582.SZ,北部湾港,交通运输
000584.SZ,哈工智能,机械设备
000585.SZ,*ST东电,电气设备
000586.SZ,汇源通信,通信
000587.SZ,金洲慈航,轻工制造
000589.SZ,黔轮胎A,化工
000590.SZ,启迪古汉,医药生物
000591.SZ,太阳能,电气设备
000592.SZ,平潭发展,农林牧渔
000593.SZ,大通燃气,公用事业
000595.SZ,宝塔实业,机械设备
000596.SZ,古井贡酒,食品饮料
000597.SZ,东北制药,医药生物
000598.SZ,兴蓉环境,公用事业
000599.SZ,青岛双星,化工
000600.SZ,建投能源,公用事业
000601.SZ,韶能股份,公用事业
000603.SZ,盛达矿业,有色金属
000605.SZ,渤海股份,公用事业
000606.SZ,顺利办,计算机
000607.SZ,华媒控股,传媒
000608.SZ,阳光股份,房地产
000609.SZ,中迪投资,房地产
000610.SZ,西安旅游,休闲服务
000611.SZ,天首发展,纺织服装
000612.SZ,焦作万方,有色金属
000613.SZ,大东海A,休闲服务
000615.SZ,京汉股份,房地产
000616.SZ,海航投资,房地产
000617.SZ,中油资本,非银金融
000619.SZ,海螺型材,建筑材料
000620.SZ,新华联,房地产
000622.SZ,恒立实业,汽车
000623.SZ,吉林敖东,医药生物
000625.SZ,长安汽车,汽车
000626.SZ,远大控股,商业贸易
000627.SZ,天茂集团,非银金融
000628.SZ,高新发展,建筑装饰
000629.SZ,攀钢钒钛,采掘
000630.SZ,铜陵有色,有色金属
000631.SZ,顺发恒业,房地产
000632.SZ,三木集团,综合
000633.SZ,合金投资,有色金属
000635.SZ,英力特,化工
000636.SZ,风华高科,电子
000637.SZ,茂化实华,化工
000638.SZ,万方发展,综合
000639.SZ,西王食品,农林牧渔
000650.SZ,仁和药业,医药生物
000651.SZ,格力电器,家用电器
000652.SZ,泰达股份,综合
000655.SZ,*ST金岭,采掘
000656.SZ,金科股份,房地产
000657.SZ,中钨高新,有色金属
000659.SZ,珠海中富,轻工制造
000661.SZ,长春高新,医药生物
000662.SZ,天夏智慧,计算机
000663.SZ,永安林业,轻工制造
000665.SZ,湖北广电,传媒
000666.SZ,经纬纺机,非银金融
