Code,Name,Industry
000001.SZ,平安银行,银行
000002.SZ,万科A,房地产
000060.SZ,中金岭南,有色金属
000063.SZ,中兴通讯,通信
000069.SZ,华侨城A,房地产
000100.SZ,TCL集团,家用电器
000157.SZ,中联重科,机械设备
000166.SZ,申万宏源,非银金融
000333.SZ,美的集团,家用电器
000338.SZ,潍柴动力,汽车
000402.SZ,金融街,房地产
000413.SZ,东旭光电,电子
000415.SZ,渤海金控,非银金融
000423.SZ,东阿阿胶,医药生物
000425.SZ,徐工机械,机械设备
000503.SZ,国新健康,医药生物
000538.SZ,云南白药,医药生物
000540.SZ,中天金融,房地产
000559.SZ,万向钱潮,汽车
000568.SZ,泸州老窖,食品饮料
000623.SZ,吉林敖东,医药生物
000625.SZ,长安汽车,汽车
000627.SZ,天茂集团,非银金融
000630.SZ,铜陵有色,有色金属
000651.SZ,格力电器,家用电器
000671.SZ,阳光城,房地产
000709.SZ,河钢股份,钢铁
000723.SZ,美锦能源,采掘
000725.SZ,京东方A,电子
000728.SZ,国元证券,非银金融
000768.SZ,中航飞机,国防军工
000776.SZ,广发证券,非银金融
000783.SZ,长江证券,非银金融
000786.SZ,北新建材,建筑材料
000792.SZ,盐湖股份,化工
000826.SZ,启迪桑德,公用事业
000839.SZ,中信国安,综合
000858.SZ,五粮液,食品饮料
000876.SZ,新希望,农林牧渔
000895.SZ,双汇发展,食品饮料
000898.SZ,鞍钢股份,钢铁
000938.SZ,紫光股份,计算机
000959.SZ,首钢股份,钢铁
000961.SZ,中南建设,房地产
000963.SZ,华东医药,医药生物
000983.SZ,西山煤电,采掘
001965.SZ,招商公路,交通运输
001979.SZ,招商蛇口,房地产
002007.SZ,华兰生物,医药生物
002008.SZ,大族激光,电子
002024.SZ,苏宁易购,商业贸易
002027.SZ,分众传媒,传媒
002044.SZ,美年健康,医药生物
002050.SZ,三花智控,家用电器
002065.SZ,东华软件,计算机
002074.SZ,国轩高科,电气设备
002081.SZ,金螳螂,建筑装饰
002085.SZ,万丰奥威,汽车
002142.SZ,宁波银行,银行
002146.SZ,荣盛发展,房地产
002153.SZ,石基信息,计算机
002202.SZ,金风科技,电气设备
002230.SZ,科大讯飞,计算机
002236.SZ,大华股份,电子
002241.SZ,歌尔股份,电子
002252.SZ,上海莱士,医药生物
002294.SZ,信立泰,医药生物
002304.SZ,洋河股份,食品饮料
002310.SZ,东方园林,建筑装饰
002352.SZ,顺丰控股,交通运输
002385.SZ,大北农,农林牧渔
002411.SZ,必康股份,医药生物
002415.SZ,海康威视,电子
002450.SZ,康得新,化工
002456.SZ,欧菲科技,电子
002460.SZ,赣锋锂业,有色金属
002466.SZ,天齐锂业,有色金属
002468.SZ,申通快递,交通运输
002470.SZ,金正大,化工
002475.SZ,立讯精密,电子
002493.SZ,荣盛石化,化工
002500.SZ,山西证券,非银金融
002508.SZ,老板电器,家用电器
002555.SZ,三七互娱,传媒
002558.SZ,巨人网络,传媒
002572.SZ,索菲亚,轻工制造
002594.SZ,比亚迪,汽车
002601.SZ,龙蟒佰利,化工
002602.SZ,世纪华通,传媒
002608.SZ,江苏国信,公用事业
002624.SZ,完美世界,传媒
002625.SZ,光启技术,汽车
002673.SZ,西部证券,非银金融
002714.SZ,牧原股份,农林牧渔
002736.SZ,国信证券,非银金融
002739.SZ,万达电影,传媒
002797.SZ,第一创业,非银金融
002925.SZ,盈趣科技,电子
300003.SZ,乐普医疗,医药生物
300015.SZ,爱尔眼科,医药生物
300017.SZ,网宿科技,通信
300024.SZ,机器人,机械设备
300027.SZ,华谊兄弟,传媒
300033.SZ,同花顺,计算机
300059.SZ,东方财富,传媒
300070.SZ,碧水源,公用事业
300072.SZ,三聚环保,公用事业
300122.SZ,智飞生物,医药生物
300124.SZ,汇川技术,电气设备
300136.SZ,信维通信,电子
300144.SZ,宋城演艺,休闲服务
300251.SZ,光线传媒,传媒
300408.SZ,三环集团,电子
300433.SZ,蓝思科技,电子
600000.SH,浦发银行,银行
600008.SH,首创股份,公用事业
600009.SH,上海机场,交通运输
600010.SH,包钢股份,钢铁
600011.SH,华能国际,公用事业
600015.SH,华夏银行,银行
600016.SH,民生银行,银行
600018.SH,上港集团,交通运输
600019.SH,宝钢股份,钢铁
600023.SH,浙能电力,公用事业
600025.SH,华能水电,公用事业
600028.SH,中国石化,化工
600029.SH,南方航空,交通运输
600030.SH,中信证券,非银金融
600031.SH,三一重工,机械设备
600036.SH,招商银行,银行
600038.SH,中直股份,国防军工
600048.SH,保利地产,房地产
600050.SH,中国联通,通信
600061.SH,国投资本,非银金融
600066.SH,宇通客车,汽车
600068.SH,葛洲坝,建筑装饰
600085.SH,同仁堂,医药生物
600089.SH,特变电工,电气设备
600100.SH,同方股份,计算机
600104.SH,上汽集团,汽车
600109.SH,国金证券,非银金融
600111.SH,北方稀土,有色金属
600115.SH,东方航空,交通运输
600118.SH,中国卫星,国防军工
600153.SH,建发股份,交通运输
600157.SH,永泰能源,采掘
600170.SH,上海建工,建筑装饰
600176.SH,中国巨石,化工
600177.SH,雅戈尔,房地产
600188.SH,兖州煤业,采掘
600196.SH,复星医药,医药生物
600208.SH,新湖中宝,房地产
600219.SH,南山铝业,有色金属
600221.SH,海航控股,交通运输
600233.SH,圆通速递,交通运输
600271.SH,航天信息,计算机
600276.SH,恒瑞医药,医药生物
600297.SH,广汇汽车,汽车
600309.SH,万华化学,化工
600332.SH,白云山,医药生物
600339.SH,中油工程,采掘
600340.SH,华夏幸福,房地产
600346.SH,恒力股份,化工
600352.SH,浙江龙盛,化工
600362.SH,江西铜业,有色金属
600369.SH,西南证券,非银金融
600372.SH,中航电子,国防军工
600373.SH,中文传媒,传媒
600376.SH,首开股份,房地产
600383.SH,金地集团,房地产
600390.SH,五矿资本,非银金融
600398.SH,海澜之家,纺织服装
600406.SH,国电南瑞,电气设备
600415.SH,小商品城,商业贸易
600436.SH,片仔癀,医药生物
600438.SH,通威股份,农林牧渔
600482.SH,中国动力,电气设备
600487.SH,亨通光电,通信
600489.SH,中金黄金,有色金属
600498.SH,烽火通信,通信
600516.SH,方大炭素,有色金属
600518.SH,康美药业,医药生物
600519.SH,贵州茅台,食品饮料
600522.SH,中天科技,通信
600535.SH,天士力,医药生物
600547.SH,山东黄金,有色金属
600549.SH,厦门钨业,有色金属
600570.SH,恒生电子,计算机
600583.SH,海油工程,采掘
600585.SH,海螺水泥,建筑材料
600588.SH,用友网络,计算机
600606.SH,绿地控股,房地产
600637.SH,东方明珠,传媒
600660.SH,福耀玻璃,汽车
600663.SH,陆家嘴,房地产
600674.SH,川投能源,公用事业
600682.SH,南京新百,商业贸易
600688.SH,上海石化,化工
600690.SH,青岛海尔,家用电器
600703.SH,三安光电,电子
600704.SH,物产中大,综合
600705.SH,中航资本,非银金融
600739.SH,辽宁成大,商业贸易
600741.SH,华域汽车,汽车
600795.SH,国电电力,公用事业
600804.SH,鹏博士,通信
600809.SH,山西汾酒,食品饮料
600816.SH,安信信托,非银金融
600820.SH,隧道股份,建筑装饰
600837.SH,海通证券,非银金融
600867.SH,通化东宝,医药生物
600886.SH,国投电力,公用事业
600887.SH,伊利股份,食品饮料
600893.SH,航发动力,国防军工
600900.SH,长江电力,公用事业
600909.SH,华安证券,非银金融
600919.SH,江苏银行,银行
600926.SH,杭州银行,银行
600958.SH,东方证券,非银金融
600959.SH,江苏有线,传媒
600977.SH,中国电影,传媒
600999.SH,招商证券,非银金融
601006.SH,大秦铁路,交通运输
601009.SH,南京银行,银行
601012.SH,隆基股份,电气设备
601018.SH,宁波港,交通运输
601021.SH,春秋航空,交通运输
601088.SH,中国神华,采掘
601099.SH,太平洋,非银金融
601108.SH,财通证券,非银金融
601111.SH,中国国航,交通运输
601117.SH,中国化学,建筑装饰
601155.SH,新城控股,房地产
