Code,Name,Industry,Weight
000006.SZ,深振业A,房地产,0.16
000008.SZ,神州高铁,机械设备,0.32
000009.SZ,中国宝安,综合,0.3
000012.SZ,南玻A,建筑材料,0.16
000021.SZ,深科技,计算机,0.14
000025.SZ,特力A,汽车,0.05
000027.SZ,深圳能源,公用事业,0.17
000028.SZ,国药一致,医药生物,0.19
000031.SZ,中粮地产,房地产,0.19
000039.SZ,中集集团,机械设备,0.31
000049.SZ,德赛电池,电子,0.1
000061.SZ,农产品,商业贸易,0.1
000062.SZ,深圳华强,电子,0.13
000066.SZ,中国长城,计算机,0.36
000078.SZ,海王生物,医药生物,0.19
000089.SZ,深圳机场,交通运输,0.23
000090.SZ,天健集团,房地产,0.13
000156.SZ,华数传媒,传媒,0.15
000158.SZ,常山北明,计算机,0.11
000400.SZ,许继电气,电气设备,0.14
000401.SZ,冀东水泥,建筑材料,0.3
000418.SZ,小天鹅A,家用电器,0.35
000426.SZ,兴业矿业,有色金属,0.15
000488.SZ,晨鸣纸业,轻工制造,0.32
000501.SZ,鄂武商A,商业贸易,0.13
000513.SZ,丽珠集团,医药生物,0.35
000519.SZ,中兵红箭,国防军工,0.18
000528.SZ,柳工,机械设备,0.25
000536.SZ,华映科技,电子,0.11
000541.SZ,佛山照明,电子,0.11
000543.SZ,皖能电力,公用事业,0.15
000547.SZ,航天发展,国防军工,0.23
000552.SZ,靖远煤电,采掘,0.11
000553.SZ,沙隆达A,化工,0.2
000563.SZ,陕国投A,非银金融,0.17
000566.SZ,海南海药,医药生物,0.21
000572.SZ,海马汽车,汽车,0.1
000581.SZ,威孚高科,汽车,0.36
000587.SZ,金洲慈航,轻工制造,0.1
000592.SZ,平潭发展,农林牧渔,0.13
000596.SZ,古井贡酒,食品饮料,0.3
000598.SZ,兴蓉环境,公用事业,0.23
000600.SZ,建投能源,公用事业,0.12
000612.SZ,焦作万方,有色金属,0.14
000636.SZ,风华高科,电子,0.44
000656.SZ,金科股份,房地产,0.38
000661.SZ,长春高新,医药生物,0.77
000667.SZ,美好置业,房地产,0.17
000681.SZ,视觉中国,传媒,0.27
000685.SZ,中山公用,公用事业,0.2
000686.SZ,东北证券,非银金融,0.25
000690.SZ,宝新能源,公用事业,0.37
000703.SZ,恒逸石化,化工,0.53
000712.SZ,锦龙股份,非银金融,0.12
000718.SZ,苏宁环球,房地产,0.15
000727.SZ,华东科技,电子,0.14
000729.SZ,燕京啤酒,食品饮料,0.29
000732.SZ,泰禾集团,房地产,0.25
000738.SZ,航发控制,国防军工,0.19
000750.SZ,国海证券,非银金融,0.29
000758.SZ,中色股份,有色金属,0.18
000761.SZ,本钢板材,钢铁,0.06
000762.SZ,西藏矿业,采掘,0.12
000766.SZ,通化金马,医药生物,0.13
000778.SZ,新兴铸管,钢铁,0.33
000806.SZ,银河生物,电气设备,0.07
000807.SZ,云铝股份,有色金属,0.24
000813.SZ,德展健康,有色金属,0.21
000825.SZ,太钢不锈,钢铁,0.37
000829.SZ,天音控股,商业贸易,0.13
000830.SZ,鲁西化工,化工,0.51
000848.SZ,承德露露,食品饮料,0.16
000860.SZ,顺鑫农业,食品饮料,0.51
000877.SZ,天山股份,建筑材料,0.15
000878.SZ,云南铜业,有色金属,0.23
000887.SZ,中鼎股份,汽车,0.3
